parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,dynamicProperties,,,,,,,,
10602-2,10602-2.3,10602-2.3-11,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-1,1,1,individuals,Spindalis portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-2,3,3,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-3,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-4,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-5,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-6,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-7,3,3,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-8,3,3,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.4,10602-2.4-9,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-1,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-2,2,2,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-3,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-4,1,1,individuals,Patagioenas squamosa,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-5,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-6,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-7,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-8,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-9,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-10,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.1,10602-3.1-11,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-1,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-2,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-3,2,2,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-4,1,1,individuals,Columbina passerina,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-5,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-6,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-7,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.2,10602-3.2-8,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-1,1,1,individuals,Euphonia musica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-2,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-3,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-4,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-5,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-6,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-7,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-8,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-9,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-3,10602-3.3,10602-3.3-10,1,1,individuals,Cathartes aura,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-1,2,2,individuals,Spindalis portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-2,1,1,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-3,10602-3.4,10602-3.4-3,1,1,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
